Organization Name,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,LinkedIn,Facebook,Contact Email,Phone Number,Full Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Similar Companies,Trend Score (90 Days),Patents Granted,Most Popular Patent Class,Trademarks Registered,Most Popular Trademark Class
Tesla Medical,https://www.crunchbase.com/organization/tesla-medical,,"Health Care, Manufacturing, Medical, Medical Device","Pustkovec, Moravskoslezsky kraj, Czech Republic",Tesla Medical is a designer and manufacturer of medical devices for the non-invasive treatment of chronic diseases using neuromodulation.,"101,263","European Union (EU), Europe, Middle East, and Africa (EMEA)",708 00,$1M to $10M,Active,2014-01-01,year,,,,,For Profit,https://www.tesla-medical.com/,https://www.linkedin.com/company/tesla-medical-s.r.o./,https://www.facebook.com/Tesla-Medical-114089580501115/,info@tesla-medical.com,,"Tesla Medical is a designer and manufacturer of neuromodulation-based medical devices for the non-invasive treatment of chronic diseases. Tesla Medical's device uses neuro-resonance to stimulate the bladder nerve receptors that cause hyperactivity and urinary leakage, allowing OAB patients to improve their quality of life by utilizing new perspectives and approaches.",,,,,,,,,,,,"Health Care, Manufacturing",1,Mohd Fairuz Razi bin Sharuddin,1-10,1,Early Stage Venture,2021-08-12,100000000,CZK,4623786,Series A,100000000,CZK,4623786,Series A,100000000,CZK,4623786,100000000,CZK,4623786,"Purple Ventures, Soulmates Ventures",2,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,19,-0.3,9,Medical Or Veterinary Science; Hygiene,4,Medical apparatus and instruments
Weart,https://www.crunchbase.com/organization/weart-s-r-l,,"Computer, Hardware, Information Technology, Software, Virtual Reality","Milano, Lombardia, Italy",Weart haptic technology is able to record and reproduce tactile sensations,"102,389","European Union (EU), Europe, Middle East, and Africa (EMEA)",20122,$1M to $10M,Active,2018-01-01,year,,,,,For Profit,https://weart.it,https://www.linkedin.com/company/wearthaptics/?originalSubdomain=it,,info@weart.it,,"Weart haptic technology is a strong example of the introduction of science fiction concepts into real-world projects and design, to produce a potential real-world benefit. Weart develops a technology for touch digitalization allowing users to augment VR/AR or multimedia contents, to enable realistic VR training sessions (medical and industrial) or to enhance instore shopping and e-commerce experiences through tactile sensations. This technology can be used to record and reproduce tactile sensations: forces, vibrations and temperature changes. On one side, it records user’s tactile sensations while interacting with objects surrounding him. On the other side, it reproduces these sensations on the user's skin.",,,,,,,,,,,,"Consumer Electronics, Hardware, Information Technology, Software",2,"Giovanni Spagnoletti, Guido Gioioso",11-50,3,Seed,2021-04-23,600000,EUR,725910,Seed,600000,EUR,725910,Seed,1105000,EUR,1310395,1105000,EUR,1310395,"CDP Venture Capital, e-Novia",1,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,8,0,5,Computing; Calculating,1,Scientific and electric apparatus and instruments
Aiko,https://www.crunchbase.com/organization/aiko-4384,,"Retail, Wine And Spirits, Winery","Pendergrass, Georgia, United States","Aiko imports and distributes a variety of alcohols like brandy, cognac, soju, rum, sake, jin, vodka, whisky, and wines from manufacturers.","103,587","East Coast, Southern US",30567,$1M to $10M,Active,2004-01-01,year,,,,,For Profit,https://www.aikoimporters.com,https://www.linkedin.com/company/aikoimporters,https://www.facebook.com/aikoimportersbrands,aiko@aikoimporters.com,+1 706-929-0003,,,,,,,,,,,,,"Commerce and Shopping, Food and Beverage",1,Dr. Irina Kogan,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,9,6.4,,,,
Sweetguest,https://www.crunchbase.com/organization/sweetguest,,"Information Technology, Real Estate","Milan, Lombardia, Italy","A full management service for short-term rentals aimed at those who want more from their holiday apartment, apart from stress.","103,665","European Union (EU), Europe, Middle East, and Africa (EMEA)",20144,$1M to $10M,Active,2016-01-01,year,,,,,For Profit,http://sweetguest.com/,https://www.linkedin.com/company/10690750,https://www.facebook.com/WeAreSweetguest/,info@sweetguest.com,+390284943687,"We manage the whole process of short-rental, giving to our clients and their guests a high quality service. We enhance our client to earn money and time. Reservations, checkin, checkout, laundry and cleaning. We deal with just about anything!",,,,,,,,,,,,"Information Technology, Real Estate",3,"Edoardo Grattirola, Jacopo Vanetti, Rocco Lomazzi",51-100,4,Early Stage Venture,2019-04-29,8000000,EUR,8947595,Series B,8000000,EUR,8947595,Series B,10200000,EUR,11522371,10200000,EUR,11522371,"Indaco Venture Partners, Andrea Baronchelli",1,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,5,2.3,0,,1,Scientific and electric apparatus and instruments
Wanderio,https://www.crunchbase.com/organization/wanderio,,"Internet, Mobile Apps, Online Portals, Travel, Travel Agency, Web Apps","Rome, Lazio, Italy","Wanderio enables travellers to get anywhere by comparing and booking trains, buses and flights in just one search.","103,760","European Union (EU), Europe, Middle East, and Africa (EMEA)",00144,$1M to $10M,Active,2013-01-01,year,,,,,For Profit,http://wanderio.com,https://www.linkedin.com/company/wanderio/,,contact@wanderio.com,,"At Wanderio we are re-imagining the way people plan their journeys, building a product that makes travel planning as easy and complete as it should be. Travellers can easily find the best way to anywhere by comparing and booking flights, trains, buses and airport connections in just one search. Wanderio takes the pain out of travellers decisions, by using technology to do all the hard work on their behalf.",,,,,,,,,,,,"Apps, Internet Services, Mobile, Software, Travel and Tourism",3,"Disheng Qiu, Luca Rossi, Matteo Colò",11-50,3,,2016-07-20,1800000,EUR,1983580,Venture - Series Unknown,1800000,EUR,1983580,Venture - Series Unknown,2250000,EUR,2534960,2250000,EUR,2534960,"Translated, Club Italia Investimenti 2, Europcar, Pi Campus, Club Digitale",2,6,,,,,,,,,,,,,,Private,,,,,,,,,,,,,8,-0.4,,,,
Chino.io,https://www.crunchbase.com/organization/chino-io,,"Cloud Data Services, Compliance, Cyber Security, Data Governance, Health Care, Information Technology, Privacy, Security","Rovereto, Trentino-Alto Adige, Italy",Chino.io solves GDPR and HIPAA compliance for Digital Health and Medtech companies by combining regulatory expertise and technology.,"104,610","European Union (EU), Europe, Middle East, and Africa (EMEA)",,Less than $1M,Active,2015-01-01,day,,,,,For Profit,https://www.chino.io,https://www.linkedin.com/company/chino,https://www.facebook.com/chinoapi,info@chino.io,+39 3475039682,"Chino.io combines regulatory and technical expertise, with a modular IT platform that allows digital health applications to eliminate compliance risks, save costs and time.",,,,,,,,,,,,"Data and Analytics, Health Care, Information Technology, Internet Services, Privacy and Security, Professional Services",2,"Jovan Stevovic, Stefano Tranquillini",11-50,6,Early Stage Venture,2018-07-01,1000000,EUR,1167951,Series A,1000000,EUR,1167951,Series A,1000000,EUR,1167951,1490000,EUR,1708414,"EASME, EIT Digital, EIT Digital Accelerator, Vertical.vc",2,4,,,,,,,,,,,,,,Private,,,,,,,,,,,,,14,-0.2,,,,
AMT,https://www.crunchbase.com/organization/amt-c73f,,"3D Printing, Health Care, Medical","Daxing, Beijing, China",AMT develops bioresorbable 3D printed vascular stents.,"105,577",Asia-Pacific (APAC),,,Active,2011-04-15,day,,,,,For Profit,http://www.ametcorp.com/,https://www.linkedin.com/company/%E5%8C%97%E4%BA%AC%E9%98%BF%E8%BF%88%E7%89%B9%E5%8C%BB%E7%96%97%E5%99%A8%E6%A2%B0%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,,Amt@ametcorp.com,010-6297-7955,"AMT offers 3D-printed vascular stents intended for the medical field. The company utilizes proprietary 3D multi-axial printing technology to develop coronary and peripheral stents that are fully biodegradable, enabling advancements in the medical 3D printing field.",,,,,,,,,,,,"Health Care, Manufacturing",,,51-100,6,Late Stage Venture,2017-05-03,50000000,CNY,7247498,Series E,50000000,CNY,7247498,Series E,163000000,CNY,24389719,163000000,CNY,24389719,"Cowin Venture, Shenzhen Guozhong Venture Capital Management, Haidian Pioneer Park, Beijing Dedeweiye Keji, Tianfeng Huiquan",,9,,,,,,,,,,,,,,Private,,,,,,,,,,,,,5,0.7,7,Medical Or Veterinary Science; Hygiene,2,Medical apparatus and instruments
Foodelux,https://www.crunchbase.com/organization/foodelux,,"B2B, E-Commerce, Food and Beverage, Wholesale","Reggio Nell Emilia, Emilia-Romagna, Italy",Foodelux is an online wholesaler that specializes in Italian cuisine and provides B2B delivery.,"106,621","European Union (EU), Europe, Middle East, and Africa (EMEA)",42121,$1M to $10M,Active,2012-01-01,year,,,,,For Profit,https://www.foodelux.it,https://www.linkedin.com/company/foodelux,https://web.facebook.com/Foodelux,info@foodelux.it,+39.0522.1841710,Foodelux is an international wholesaler of Italian products. A chance meeting between Andrea Salati and Andrea Bertoldi resulted in the formation of the company. Foodelux was founded in 2012.,,,,,,,,,,,,"Commerce and Shopping, Food and Beverage, Other",1,Giuseppe Ugolotti Verdoni,11-50,2,Early Stage Venture,2021-10-31,2500000,EUR,2889075,Series B,2500000,EUR,2889075,Series B,5500000,EUR,6235795,5500000,EUR,6235795,Milano Investment Partners SGR,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,12,0.6,,,,
Genoa Instruments,https://www.crunchbase.com/organization/genoa-instruments,,"Biopharma, Biotechnology, Life Science, Nanotechnology","Genova, Liguria, Italy","GI develops super-resolution optical microscopes, empowering researchers to explore the microscopic world with unprecedented detail.","108,531","European Union (EU), Europe, Middle East, and Africa (EMEA)",16152,,Active,2019-04-01,month,,,,,For Profit,https://www.genoainstruments.com,https://www.linkedin.com/company/genoa-instruments,,info@genoainstruments.com,,"Genoa Instruments is an innovative startup dedicated to transforming the field of biomedical and health research through advanced super-resolution optical microscopy. Our groundbreaking optical microscope uniquely integrates spatial and temporal super-resolution for structural and functional imaging in living samples with unprecedented detail. Our mission is to make high-resolution imaging accessible to all, fostering scientific discovery and advancing healthcare research.",,,,,,,,,,,,"Biotechnology, Health Care, Science and Engineering",5,"Alberto Diaspro, Giuseppe Vicidomini, Marco Castello, Paolo Bianchini, Simonluca Piazza",1-10,5,,2025-02-05,1000000,EUR,1039866,Venture - Series Unknown,1000000,EUR,1039866,Venture - Series Unknown,1170000,EUR,1236737,1400000,EUR,1509069,"CDP Venture Capital, European Investment Fund, B4i - Bocconi for innovation, Blue Ocean Finance, MCF Holding",3,9,,,,,,,,,,,,,,Private,,,,,,,,,,,,,8,-1.8,,,,
Mymenu,https://www.crunchbase.com/organization/mymenu,,"Catering, Food and Beverage, Food Delivery","Milan, Lombardia, Italy",Mymenu is a food delivery service that brings people's favorite dishes to their homes or offices.,"110,498","European Union (EU), Europe, Middle East, and Africa (EMEA)",20125,$1M to $10M,Active,2013-01-01,year,2021-02-01,day,,,For Profit,https://www.mymenu.it/,https://www.linkedin.com/company/mymenu-it,https://www.facebook.com/mymenu.it/,info@mymenu.it,,"Mymenu is a food delivery service that brings people's favorite dishes to their homes or offices. With just a few clicks and a few seconds, people can quickly order what they want from their favorite restaurant and have it conveniently delivered to their home or place of business with MYMENU's efficient and prompt delivery service. Mymenu promises a high-quality service, so they deliver immediately, picking up the item as soon as it is prepared and utilizing cutting-edge packaging that ensures the products' integrity.",,,,,,,,,,,,"Food and Beverage, Transportation",3,"Edoardo Tribuzio, Giovanni Cavallo, Lorenzo Lelli",11-50,1,M&A,2018-07-01,1500000,EUR,1751927,Seed,1500000,EUR,1751927,Seed,1500000,EUR,1751927,1500000,EUR,1751927,"P101, Club Italia Investimenti 2, Nanabianca",,3,,Was Acquired,Mymenu acquired by Pellegrini S.p.A.,https://www.crunchbase.com/acquisition/pellegrini-s-p-a-acquires-mymenu--93ddbb14,Pellegrini S.p.A.,https://www.crunchbase.com/organization/pellegrini-s-p-a,2021-02-01,day,,,,Acquisition,,Private,,,,,,,,,,,,,18,-0.3,,,,
sailsquare,https://www.crunchbase.com/organization/sailsquare,,"Adventure Travel, Collaborative Consumption, Marketplace, Tourism, Travel","Milan, Lombardia, Italy",Sailsquare is the largest marketplace for sailing experiences offered by local skippers.,"111,121","European Union (EU), Europe, Middle East, and Africa (EMEA)",20149,$1M to $10M,Active,2012-05-16,day,,,,,For Profit,http://www.sailsquare.com,http://www.linkedin.com/company/2713958,http://www.facebook.com/sailsquare,hello@sailsquare.com,+39 0294752565,"Sailsquare connects local skippers with travellers keen to live an experience at sea. Through a peer-to-peer platform, people can take part in sailing experiences listed by skippers. Once registered on the platform, it's possible to apply as a yacht owning skipper. Skippers must pass a selection process carried out by sailsquare, after which they can list their own proposals. Other users can browse the proposals, filter them through a search engine and, eventually, book an experience by paying online.",,,,,,,,,,,,"Commerce and Shopping, Other, Travel and Tourism",2,"Riccardo Boatti, Simone Marini",11-50,3,Seed,2018-03-14,2500000,EUR,3093711,Seed,2500000,EUR,3093711,Seed,3980000,EUR,4792149,3980000,EUR,4792149,"Proximity Capital, Ligurcapital SpA",,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,8,-0.7,0,,1,Scientific and electric apparatus and instruments
Hexagro,https://www.crunchbase.com/organization/hexagro-urban-farming,,"AgTech, Farming, Hardware, Internet of Things","Milano, Lombardia, Italy","The urban farming platform for anyone to learn and grow healthy food. Modular vertical gardens, IoT software and farming community","113,651","European Union (EU), Europe, Middle East, and Africa (EMEA)",20122,$1M to $10M,Active,2016-12-05,day,,,,,For Profit,https://www.hexagro.io/,https://www.linkedin.com/company/hexagro-io/,https://www.facebook.com/hexagro.io,hello@hexagro.io,,"Hexagro is the first urban farming platform offering modular hardware, IoT automation software and a community of growers to decentralize food production and allow anyone to grow and access healthy food.",,,,,,,,,,,,"Agriculture and Farming, Hardware, Internet Services",2,"Alessandro Grampa, Felipe Hernández",1-10,6,,2021-01-31,750000,EUR,909220,Undisclosed,750000,EUR,909220,Undisclosed,1090000,EUR,1313686,1165000,EUR,1400514,"CDP Venture Capital, MassChallenge",,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,4,-0.5,0,,1,Scientific and electric apparatus and instruments
